Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
181,Undress Code,undress-code.com,Poland,Apparel & Fashion,508.3,82.5,2935097,448731,14,5,2015,
651,APF Autoparts,apfautoparts.com,Belgium,Automotive,126.1,31.3,"199,005,377","88,010,026",213,131,1999,https://be.linkedin.com/company/apf-autoparts
10,APP Auto Pflege Partner,autopflegepartner.de,Germany,Automotive,6081.1,295.4,9973184,161351,32,8,2018,https://de.linkedin.com/company/autopflegepartner
974,Autel Karnetic,autel.uk,UK,Automotive,63.3,17.8,"17,220,107","10,406,040",11,9,2015,https://uk.linkedin.com/company/karnetic-limited
650,Autoeasy,autoeasy.fr,France,Automotive,126.5,31.3,"5,818,498","2,569,121",8,4,2011,https://fr.linkedin.com/company/autoeasy
218,CPM,cpmgruppe.de,Germany,Automotive,422.4,73.5,3399056,650687,22,4,2015,
481,Fix Auto Leicester,fixauto.com,UK,Automotive,189.3,42.5,"6,736,512","2,297,502",33,25,2017,https://uk.linkedin.com/company/fix-auto-leicester
678,Glass Express,glass-express.fr,France,Automotive,117.4,29.5,"20,844,510","9,590,148",189,108,2013,https://www.linkedin.com/company/glass-express-france/
375,Langhammer,langhammer.gmbh,Germany,Automotive,248.3,51.6,"4,891,567","1,404,594",24,9,2018,
736,Looping.com,looping.com,Netherlands,Automotive,104.2,26.9,"4,929,996","2,414,843",36,15,2019,
424,Markus Kraska Automobile,kraska-automobile.de,Germany,Automotive,223.4,47.9,"31,941,287","9,878,177",22,5,2015,
64,Mevas Auto,mevas-auto.ro,Romania,Automotive,1311.7,141.7,4137175,294559,32,32,2003,https://www.linkedin.com/company/doctortesla
770,Niese Caravan,niese-caravan.de,Germany,Automotive,98.6,25.7,"21,847,408","11,003,229",46,26,1974,
787,OBDeleven,obdeleven.com,Lithuania,Automotive,94.8,24.9,"15,353,560","7,881,443",77,43,2014,https://lt.linkedin.com/company/obdeleven
23,Rebil,rebil.no,Norway,Automotive,2973.1,213.2,45357500,1742823,48,2,2020,
390,Vanaways,vanaways.co.uk,UK,Automotive,239.4,50.3,"131,673,461","38,285,486",64,16,2015,https://uk.linkedin.com/company/vanaways
